[2024-12-05 23:38:01,284] 36 root - INFO - Error fetching data for city_id 216: 'appointmentId'
[2024-12-05 23:38:01,539] 36 root - INFO - Error fetching data for city_id 219: 'appointmentId'
[2024-12-05 23:38:01,618] 36 root - INFO - Error fetching data for city_id 221: 'appointmentId'
[2024-12-05 23:38:01,702] 36 root - INFO - Error fetching data for city_id 225: 'appointmentId'
[2024-12-05 23:38:01,702] 36 root - INFO - Error fetching data for city_id 224: 'appointmentId'
[2024-12-05 23:38:01,765] 36 root - INFO - Error fetching data for city_id 217: 'appointmentId'
[2024-12-05 23:38:01,802] 36 root - INFO - Error fetching data for city_id 226: 'appointmentId'
[2024-12-05 23:38:01,802] 36 root - INFO - Error fetching data for city_id 227: 'appointmentId'
[2024-12-05 23:38:01,813] 36 root - INFO - Error fetching data for city_id 215: 'appointmentId'
[2024-12-05 23:38:01,816] 36 root - INFO - Error fetching data for city_id 222: 'appointmentId'
[2024-12-05 23:38:02,136] 36 root - INFO - Error fetching data for city_id 231: 'appointmentId'
[2024-12-05 23:38:02,184] 36 root - INFO - Error fetching data for city_id 233: 'appointmentId'
[2024-12-05 23:38:02,205] 36 root - INFO - Error fetching data for city_id 223: 'appointmentId'
[2024-12-05 23:38:02,390] 36 root - INFO - Error fetching data for city_id 232: 'appointmentId'
[2024-12-05 23:38:02,422] 36 root - INFO - Error fetching data for city_id 235: 'appointmentId'
[2024-12-05 23:38:02,461] 36 root - INFO - Error fetching data for city_id 229: 'appointmentId'
[2024-12-05 23:38:02,475] 36 root - INFO - Error fetching data for city_id 238: 'appointmentId'
[2024-12-05 23:38:02,484] 36 root - INFO - Error fetching data for city_id 230: 'appointmentId'
[2024-12-05 23:38:02,494] 36 root - INFO - Error fetching data for city_id 236: 'appointmentId'
[2024-12-05 23:38:02,674] 36 root - INFO - Error fetching data for city_id 239: 'appointmentId'
[2024-12-05 23:38:02,723] 36 root - INFO - Error fetching data for city_id 228: 'appointmentId'
[2024-12-05 23:38:02,786] 36 root - INFO - Error fetching data for city_id 240: 'appointmentId'
[2024-12-05 23:38:02,786] 36 root - INFO - Error fetching data for city_id 237: 'appointmentId'
[2024-12-05 23:38:02,786] 36 root - INFO - Error fetching data for city_id 234: 'appointmentId'
[2024-12-05 23:38:02,967] 36 root - INFO - Error fetching data for city_id 241: 'appointmentId'
[2024-12-05 23:38:03,161] 36 root - INFO - Error fetching data for city_id 245: 'appointmentId'
[2024-12-05 23:38:03,211] 36 root - INFO - Error fetching data for city_id 246: 'appointmentId'
[2024-12-05 23:38:03,331] 36 root - INFO - Error fetching data for city_id 249: 'appointmentId'
[2024-12-05 23:38:03,340] 36 root - INFO - Error fetching data for city_id 247: 'appointmentId'
[2024-12-05 23:38:03,345] 36 root - INFO - Error fetching data for city_id 243: 'appointmentId'
[2024-12-05 23:38:03,362] 36 root - INFO - Error fetching data for city_id 244: 'appointmentId'
[2024-12-05 23:38:03,643] 36 root - INFO - Error fetching data for city_id 242: 'appointmentId'
[2024-12-05 23:38:03,659] 36 root - INFO - Error fetching data for city_id 253: 'appointmentId'
[2024-12-05 23:38:03,685] 36 root - INFO - Error fetching data for city_id 248: 'appointmentId'
[2024-12-05 23:38:03,812] 36 root - INFO - Error fetching data for city_id 251: 'appointmentId'
[2024-12-05 23:38:03,838] 36 root - INFO - Error fetching data for city_id 254: 'appointmentId'
[2024-12-05 23:38:03,995] 36 root - INFO - Error fetching data for city_id 252: 'appointmentId'
[2024-12-05 23:38:04,024] 36 root - INFO - Error fetching data for city_id 250: 'appointmentId'
[2024-12-05 23:38:04,077] 36 root - INFO - Error fetching data for city_id 258: 'appointmentId'
[2024-12-05 23:38:04,169] 36 root - INFO - Error fetching data for city_id 259: 'appointmentId'
[2024-12-05 23:38:04,169] 36 root - INFO - Error fetching data for city_id 256: 'appointmentId'
[2024-12-05 23:38:04,265] 36 root - INFO - Error fetching data for city_id 255: 'appointmentId'
[2024-12-05 23:38:04,308] 36 root - INFO - Error fetching data for city_id 260: 'appointmentId'
[2024-12-05 23:38:04,341] 36 root - INFO - Error fetching data for city_id 257: 'appointmentId'
[2024-12-05 23:38:04,690] 36 root - INFO - Error fetching data for city_id 264: 'appointmentId'
[2024-12-05 23:38:04,721] 36 root - INFO - Error fetching data for city_id 266: 'appointmentId'
[2024-12-05 23:38:04,721] 36 root - INFO - Error fetching data for city_id 262: 'appointmentId'
[2024-12-05 23:38:04,753] 36 root - INFO - Error fetching data for city_id 261: 'appointmentId'
[2024-12-05 23:38:04,768] 36 root - INFO - Error fetching data for city_id 265: 'appointmentId'
[2024-12-05 23:38:04,897] 36 root - INFO - Error fetching data for city_id 263: 'appointmentId'
[2024-12-05 23:38:05,100] 36 root - INFO - Error fetching data for city_id 267: 'appointmentId'
[2024-12-05 23:38:05,141] 36 root - INFO - Error fetching data for city_id 272: 'appointmentId'
[2024-12-05 23:38:05,156] 36 root - INFO - Error fetching data for city_id 268: 'appointmentId'
[2024-12-05 23:38:05,172] 36 root - INFO - Error fetching data for city_id 269: 'appointmentId'
[2024-12-05 23:38:05,172] 36 root - INFO - Error fetching data for city_id 271: 'appointmentId'
[2024-12-05 23:38:05,326] 36 root - INFO - Error fetching data for city_id 270: 'appointmentId'
[2024-12-05 23:38:05,380] 36 root - INFO - Error fetching data for city_id 273: 'appointmentId'
[2024-12-05 23:38:05,433] 36 root - INFO - Error fetching data for city_id 276: 'appointmentId'
[2024-12-05 23:38:05,442] 36 root - INFO - Error fetching data for city_id 275: 'appointmentId'
[2024-12-05 23:38:05,463] 36 root - INFO - Error fetching data for city_id 274: 'appointmentId'
[2024-12-05 23:38:05,655] 36 root - INFO - Error fetching data for city_id 278: 'appointmentId'
[2024-12-05 23:38:05,780] 36 root - INFO - Error fetching data for city_id 279: 'appointmentId'
[2024-12-05 23:38:05,790] 36 root - INFO - Error fetching data for city_id 281: 'appointmentId'
[2024-12-05 23:38:05,995] 36 root - INFO - Error fetching data for city_id 277: 'appointmentId'
[2024-12-05 23:38:06,097] 36 root - INFO - Error fetching data for city_id 280: 'appointmentId'
